"Frequency","Prob."
9192631710,-0.421
9192631710.200001,-0.426
9192631710.4,-0.418
9192631710.6,-0.42
9192631710.799999,-0.426
9192631711,-0.433
9192631711.200001,-0.423
9192631711.4,-0.425
9192631711.6,-0.422
9192631711.799999,-0.429
9192631712,-0.427
9192631712.200001,-0.429
9192631712.4,-0.426
9192631712.6,-0.432
9192631712.799999,-0.432
9192631713,-0.423
9192631713.200001,-0.426
9192631713.4,-0.43
9192631713.6,-0.43
9192631713.799999,-0.432
9192631714,-0.428
9192631714.200001,-0.429
9192631714.4,-0.425
9192631714.6,-0.428
9192631714.799999,-0.428
9192631715,-0.427
9192631715.200001,-0.429
9192631715.4,-0.429
9192631715.6,-0.427
9192631715.799999,-0.428
9192631716,-0.43
9192631716.200001,-0.427
9192631716.4,-0.432
9192631716.6,-0.429
9192631716.799999,-0.426
9192631717,-0.428
9192631717.200001,-0.428
9192631717.4,-0.43
9192631717.6,-0.426
9192631717.799999,-0.432
9192631718,-0.425
9192631718.200001,-0.427
9192631718.4,-0.424
9192631718.6,-0.427
9192631718.799999,-0.427
9192631719,-0.427
9192631719.200001,-0.427
9192631719.4,-0.426
9192631719.6,-0.426
9192631719.799999,-0.423
9192631720,-0.424
9192631720.200001,-0.429
9192631720.4,-0.427
9192631720.6,-0.421
9192631720.799999,-0.427
9192631721,-0.423
9192631721.200001,-0.425
9192631721.4,-0.426
9192631721.6,-0.422
9192631721.799999,-0.425
9192631722,-0.423
9192631722.200001,-0.424
9192631722.4,-0.424
9192631722.6,-0.422
9192631722.799999,-0.427
9192631723,-0.418
9192631723.200001,-0.42
9192631723.4,-0.422
9192631723.6,-0.424
9192631723.799999,-0.422
9192631724,-0.426
9192631724.200001,-0.425
9192631724.4,-0.426
9192631724.6,-0.42
9192631724.799999,-0.42
9192631725,-0.421
9192631725.200001,-0.419
9192631725.4,-0.427
9192631725.6,-0.421
9192631725.799999,-0.421
9192631726,-0.422
9192631726.200001,-0.424
9192631726.4,-0.42
9192631726.6,-0.428
9192631726.799999,-0.416
9192631727,-0.418
9192631727.200001,-0.416
9192631727.4,-0.419
9192631727.6,-0.418
9192631727.799999,-0.416
9192631728,-0.42
9192631728.200001,-0.415
9192631728.4,-0.417
9192631728.6,-0.416
9192631728.799999,-0.419
9192631729,-0.417
9192631729.200001,-0.414
9192631729.4,-0.422
9192631729.6,-0.416
9192631729.799999,-0.41
9192631730,-0.418
9192631730.200001,-0.41
9192631730.4,-0.411
9192631730.6,-0.42
9192631730.799999,-0.413
9192631731,-0.415
9192631731.200001,-0.412
9192631731.4,-0.41
9192631731.6,-0.412
9192631731.799999,-0.417
9192631732,-0.415
9192631732.200001,-0.418
9192631732.4,-0.41
9192631732.6,-0.407
9192631732.799999,-0.411
9192631733,-0.406
9192631733.200001,-0.408
9192631733.4,-0.408
9192631733.6,-0.405
9192631733.799999,-0.409
9192631734,-0.409
9192631734.200001,-0.405
9192631734.4,-0.406
9192631734.6,-0.405
9192631734.799999,-0.404
9192631735,-0.4
9192631735.200001,-0.408
9192631735.4,-0.402
9192631735.6,-0.405
9192631735.799999,-0.402
9192631736,-0.405
9192631736.200001,-0.407
9192631736.4,-0.404
9192631736.6,-0.405
9192631736.799999,-0.401
9192631737,-0.408
9192631737.200001,-0.399
9192631737.4,-0.395
9192631737.6,-0.402
9192631737.799999,-0.399
9192631738,-0.396
9192631738.200001,-0.398
9192631738.4,-0.4
9192631738.6,-0.394
9192631738.799999,-0.395
9192631739,-0.393
9192631739.200001,-0.392
9192631739.4,-0.393
9192631739.6,-0.398
9192631739.799999,-0.393
9192631740,-0.4
9192631740.200001,-0.393
9192631740.4,-0.391
9192631740.6,-0.395
9192631740.799999,-0.395
9192631741,-0.387
9192631741.200001,-0.388
9192631741.4,-0.388
9192631741.6,-0.383
9192631741.799999,-0.384
9192631742,-0.389
9192631742.200001,-0.388
9192631742.4,-0.389
9192631742.6,-0.393
9192631742.799999,-0.396
9192631743,-0.389
9192631743.200001,-0.389
9192631743.4,-0.386
9192631743.6,-0.387
9192631743.799999,-0.381
9192631744,-0.373
9192631744.200001,-0.378
9192631744.4,-0.38
9192631744.6,-0.375
9192631744.799999,-0.38
9192631745,-0.384
9192631745.200001,-0.39
9192631745.4,-0.388
9192631745.6,-0.39
9192631745.799999,-0.394
9192631746,-0.389
9192631746.200001,-0.383
9192631746.4,-0.373
9192631746.6,-0.372
9192631746.799999,-0.369
9192631747,-0.365
9192631747.200001,-0.363
9192631747.4,-0.367
9192631747.6,-0.363
9192631747.799999,-0.378
9192631748,-0.376
9192631748.200001,-0.393
9192631748.4,-0.388
9192631748.6,-0.39
9192631748.799999,-0.391
9192631749,-0.383
9192631749.200001,-0.372
9192631749.4,-0.367
9192631749.6,-0.361
9192631749.799999,-0.353
9192631750,-0.345
9192631750.200001,-0.356
9192631750.4,-0.358
9192631750.6,-0.367
9192631750.799999,-0.37
9192631751,-0.389
9192631751.200001,-0.393
9192631751.4,-0.396
9192631751.6,-0.396
9192631751.799999,-0.386
9192631752,-0.381
9192631752.200001,-0.349
9192631752.4,-0.359
9192631752.6,-0.34
9192631752.799999,-0.336
9192631753,-0.338
9192631753.200001,-0.346
9192631753.4,-0.359
9192631753.6,-0.363
9192631753.799999,-0.375
9192631754,-0.393
9192631754.200001,-0.395
9192631754.4,-0.397
9192631754.6,-0.393
9192631754.799999,-0.374
9192631755,-0.35
9192631755.200001,-0.349
9192631755.4,-0.331
9192631755.6,-0.321
9192631755.799999,-0.318
9192631756,-0.326
9192631756.200001,-0.34
9192631756.4,-0.35
9192631756.6,-0.384
9192631756.799999,-0.388
9192631757,-0.394
9192631757.200001,-0.408
9192631757.4,-0.399
9192631757.6,-0.385
9192631757.799999,-0.369
9192631758,-0.358
9192631758.200001,-0.315
9192631758.4,-0.306
9192631758.6,-0.304
9192631758.799999,-0.309
9192631759,-0.325
9192631759.200001,-0.339
9192631759.4,-0.364
9192631759.6,-0.395
9192631759.799999,-0.404
9192631760,-0.407
9192631760.200001,-0.402
9192631760.4,-0.384
9192631760.6,-0.367
9192631760.799999,-0.352
9192631761,-0.313
9192631761.200001,-0.301
9192631761.4,-0.292
9192631761.6,-0.305
9192631761.799999,-0.299
9192631762,-0.331
9192631762.200001,-0.371
9192631762.4,-0.385
9192631762.6,-0.394
9192631762.799999,-0.412
9192631763,-0.408
9192631763.200001,-0.395
9192631763.4,-0.377
9192631763.6,-0.347
9192631763.799999,-0.336
9192631764,-0.296
9192631764.200001,-0.289
9192631764.4,-0.289
9192631764.6,-0.3
9192631764.799999,-0.339
9192631765,-0.335
9192631765.200001,-0.381
9192631765.4,-0.396
9192631765.6,-0.411
9192631765.799999,-0.42
9192631766,-0.408
9192631766.200001,-0.375
9192631766.4,-0.342
9192631766.6,-0.323
9192631766.799999,-0.293
9192631767,-0.291
9192631767.200001,-0.281
9192631767.4,-0.298
9192631767.6,-0.328
9192631767.799999,-0.335
9192631768,-0.376
9192631768.200001,-0.407
9192631768.4,-0.412
9192631768.6,-0.418
9192631768.799999,-0.409
9192631769,-0.396
9192631769.200001,-0.381
9192631769.4,-0.336
9192631769.6,-0.301
9192631769.799999,-0.286
9192631770,-0.282
9192631770.200001,-0.283
9192631770.4,-0.298
9192631770.6,-0.336
9192631770.799999,-0.364
9192631771,-0.411
9192631771.200001,-0.402
9192631771.4,-0.418
9192631771.6,-0.404
9192631771.799999,-0.396
9192631772,-0.366
9192631772.200001,-0.342
9192631772.4,-0.325
9192631772.6,-0.298
9192631772.799999,-0.284
9192631773,-0.294
9192631773.200001,-0.298
9192631773.4,-0.325
9192631773.6,-0.35
9192631773.799999,-0.387
9192631774,-0.405
9192631774.200001,-0.411
9192631774.4,-0.41
9192631774.6,-0.408
9192631774.799999,-0.367
9192631775,-0.353
9192631775.200001,-0.329
9192631775.4,-0.294
9192631775.6,-0.288
9192631775.799999,-0.289
9192631776,-0.301
9192631776.200001,-0.326
9192631776.4,-0.343
9192631776.6,-0.359
9192631776.799999,-0.402
9192631777,-0.409
9192631777.200001,-0.414
9192631777.4,-0.403
9192631777.6,-0.394
9192631777.799999,-0.359
9192631778,-0.33
9192631778.200001,-0.299
