"Frequency","Prob.","C","D","E","F"
9192631710,0.08,119.76,130.192,0.07199999999999999,0.119
9192631710.200001,0.078,122.324,132.624,0.062,0.111
9192631710.4,0.082,54.306,59.139,0.074,0.112
9192631710.6,0.076,56.199,60.809,0.062,0.1
9192631710.799999,0.078,58.48,63.425,0.07099999999999999,0.109
9192631711,0.075,56.64,61.265,0.065,0.1
9192631711.200001,0.078,55.573,60.267,0.077,0.099
9192631711.4,0.075,60.115,65.023,0.07099999999999999,0.104
9192631711.6,0.078,58.876,63.846,0.075,0.108
9192631711.799999,0.079,56.534,61.395,0.07099999999999999,0.105
9192631712,0.079,59.11,64.173,0.07000000000000001,0.108
9192631712.200001,0.083,56.134,61.195,0.079,0.116
9192631712.4,0.077,58.536,63.454,0.06900000000000001,0.112
9192631712.6,0.078,58.437,63.356,0.07099999999999999,0.11
9192631712.799999,0.078,59.202,64.244,0.074,0.111
9192631713,0.074,60.006,64.816,0.07000000000000001,0.104
9192631713.200001,0.077,57.542,62.351,0.066,0.103
9192631713.4,0.077,59.66,64.637,0.068,0.105
9192631713.6,0.079,60.83,66.01900000000001,0.07099999999999999,0.109
9192631713.799999,0.078,56.212,60.975,0.066,0.109
9192631714,0.075,57.023,61.615,0.07199999999999999,0.102
9192631714.200001,0.075,59.315,64.116,0.07000000000000001,0.104
9192631714.4,0.076,60.033,64.985,0.077,0.102
9192631714.6,0.077,59.788,64.756,0.075,0.105
9192631714.799999,0.079,59.796,64.93300000000001,0.073,0.112
9192631715,0.079,58.592,63.588,0.073,0.109
9192631715.200001,0.079,59.091,64.13200000000001,0.064,0.11
9192631715.4,0.081,57.637,62.723,0.06900000000000001,0.117
9192631715.6,0.078,57.929,62.823,0.068,0.11
9192631715.799999,0.078,56.885,61.709,0.076,0.11
9192631716,0.075,57.253,61.919,0.07199999999999999,0.102
9192631716.200001,0.08,55.208,59.984,0.065,0.114
9192631716.4,0.08,57.958,62.978,0.068,0.117
9192631716.6,0.079,56.465,61.296,0.063,0.105
9192631716.799999,0.08,58.063,63.109,0.066,0.122
9192631717,0.08,59.862,65.036,0.063,0.111
9192631717.200001,0.076,58.683,63.528,0.065,0.112
9192631717.4,0.079,55.45,60.182,0.065,0.119
9192631717.6,0.076,55.472,60.053,0.067,0.111
9192631717.799999,0.076,56.329,60.987,0.064,0.105
9192631718,0.075,54.979,59.46,0.064,0.107
9192631718.200001,0.075,51.261,55.446,0.06,0.114
9192631718.4,0.076,52.695,57.043,0.06900000000000001,0.113
9192631718.6,0.074,57.298,61.875,0.06900000000000001,0.106
9192631718.799999,0.078,54.676,59.29,0.075,0.118
9192631719,0.08,53.986,58.667,0.07099999999999999,0.113
9192631719.200001,0.081,55.1,59.944,0.07099999999999999,0.117
9192631719.4,0.081,56.938,61.946,0.07199999999999999,0.113
9192631719.6,0.075,57.869,62.591,0.068,0.097
9192631719.799999,0.073,57.122,61.621,0.068,0.097
9192631720,0.079,57.419,62.362,0.076,0.1
9192631720.200001,0.083,53.88,58.77,0.073,0.112
9192631720.4,0.081,56.913,61.898,0.06900000000000001,0.118
9192631720.6,0.081,53.764,58.533,0.068,0.114
9192631720.799999,0.078,56.727,61.513,0.065,0.114
9192631721,0.077,57.13,61.9,0.06900000000000001,0.111
9192631721.200001,0.079,54.339,58.985,0.07199999999999999,0.11
9192631721.4,0.078,54.825,59.442,0.078,0.107
9192631721.6,0.077,53.921,58.39,0.074,0.112
9192631721.799999,0.081,53.962,58.716,0.07199999999999999,0.115
9192631722,0.075,57.426,62.086,0.06900000000000001,0.102
