Detuning_Normalizado,P2_Curva_A,P2_Curva_B
-2.000000000000000000e+01,3.331025367227098384e-04,4.518781354047698745e-04
-1.993700787401574814e+01,3.480817119692079038e-04,4.836808635101194241e-04
-1.987401574803149629e+01,3.632092427879938905e-04,5.012910756275502921e-04
-1.981102362204724443e+01,3.783904379905246411e-04,5.065015816696749043e-04
-1.974803149606299257e+01,3.935165824994415356e-04,5.080430324559968890e-04
-1.968503937007874072e+01,4.085003664434442823e-04,5.176791408906765684e-04
-1.962204724409448886e+01,4.232957848425753346e-04,5.442089140341721532e-04
-1.955905511811023700e+01,4.378924449224497412e-04,5.883834132365735889e-04
-1.949606299212598515e+01,4.522898270938263492e-04,6.415714349386981898e-04
-1.943307086614173329e+01,4.664682222409759411e-04,6.892830400926656855e-04
-1.937007874015748143e+01,4.803734989235919242e-04,7.181641905740433936e-04
-1.930708661417322958e+01,4.939231196558953882e-04,7.230838529609403924e-04
-1.924409448818897417e+01,5.070275896902685757e-04,7.105658672797317797e-04
-1.918110236220472586e+01,5.196130476527436627e-04,6.964163555899520637e-04
-1.911811023622047401e+01,5.316316834514769104e-04,6.982808607675234638e-04
-1.905511811023622215e+01,5.430555961083428874e-04,7.266049367717106015e-04
-1.899212598425196674e+01,5.538603127683179583e-04,7.785986104244041950e-04
-1.892913385826771844e+01,5.640097341980195196e-04,8.385932498268811866e-04
-1.886614173228346658e+01,5.734518067389671831e-04,8.850909363911568318e-04
-1.880314960629921117e+01,5.821261473743714714e-04,9.013331014253387610e-04
-1.874015748031495932e+01,5.899769305111438088e-04,8.841588367149505944e-04
-1.867716535433071101e+01,5.969617092038358684e-04,8.464613430767091440e-04
-1.861417322834645560e+01,6.030506997668697152e-04,8.115712503263839426e-04
-1.855118110236220375e+01,6.082182260048391888e-04,8.019728738577315899e-04
-1.848818897637795189e+01,6.124333825595671505e-04,8.278269771239079753e-04
-1.842519685039370003e+01,6.156570504285453771e-04,8.811737082802497322e-04
