Detuning_Normalizado,Probabilidade_P2
-2.000000000000000355e+01,2.879127527024702080e-03
-1.996758508914100716e+01,3.223630361667497498e-03
-1.993517017828201077e+01,3.555637760595222602e-03
-1.990275526742301437e+01,3.777183940128672323e-03
-1.987034035656402153e+01,3.820891217356509831e-03
-1.983792544570502514e+01,3.662123516608079866e-03
-1.980551053484602875e+01,3.321118192933144794e-03
-1.977309562398703946e+01,2.855291378118685053e-03
-1.974068071312804307e+01,2.344062221909380683e-03
-1.970826580226904667e+01,1.870043275651762102e-03
-1.967585089141005028e+01,1.500996569437123423e-03
-1.964343598055105744e+01,1.276486817817962726e-03
-1.961102106969206105e+01,1.201839442818181765e-03
-1.957860615883306465e+01,1.250183044757943208e-03
-1.954619124797406826e+01,1.371471495812211575e-03
-1.951377633711507542e+01,1.505876213791009161e-03
-1.948136142625607903e+01,1.598138274051493770e-03
-1.944894651539708263e+01,1.609514501725888523e-03
-1.941653160453808979e+01,1.524777110332716000e-03
-1.938411669367909340e+01,1.353088083016410707e-03
-1.935170178282010056e+01,1.123109694117048734e-03
-1.931928687196110417e+01,8.740520143757672319e-04
-1.928687196110211133e+01,6.451881434721040871e-04
-1.925445705024311494e+01,4.665210265807662486e-04
-1.922204213938411854e+01,3.527697853366064656e-04
-1.918962722852512215e+01,3.018304669271750949e-04
-1.915721231766612931e+01,2.976414084342879286e-04
-1.912479740680713292e+01,3.162692844153837586e-04
-1.909238249594813652e+01,3.333047977387255880e-04
-1.905996758508914368e+01,3.304796804914321429e-04
-1.902755267423014729e+01,2.998018513294236622e-04
-1.899513776337115090e+01,2.443188534343577307e-04
-1.896272285251215450e+01,1.756204167534964342e-04
-1.893030794165316166e+01,1.090991738511767342e-04
-1.889789303079416527e+01,5.856021605397411094e-05
-1.886547811993517243e+01,3.186124430488046933e-05
-1.883306320907617959e+01,2.886756454146623105e-05
-1.880064829821718320e+01,4.224747952120442516e-05
-1.876823338735818680e+01,6.073951322749731414e-05
-1.873581847649919041e+01,7.375440323508037558e-05
-1.870340356564019757e+01,7.575579644568980367e-05
-1.867098865478120118e+01,6.891850707416051285e-05
-1.863857374392220478e+01,6.308154515401261824e-05
-1.860615883306320839e+01,7.285067083506948260e-05
-1.857374392220421555e+01,1.126220219781596014e-04
-1.854132901134521916e+01,1.910239260178669778e-04
-1.850891410048622276e+01,3.065826916507706328e-04
-1.847649918962723348e+01,4.461944931936263643e-04
-1.844408427876823708e+01,5.872613935612153559e-04
-1.841166936790924069e+01,7.033027457170349392e-04
-1.837925445705024430e+01,7.717650057254715236e-04
-1.834683954619125146e+01,7.819359044700264225e-04
-1.831442463533225506e+01,7.405817358543297568e-04
-1.828200972447325867e+01,6.732991220649954056e-04
-1.824959481361426583e+01,6.205613279833478886e-04
-1.821717990275526944e+01,6.288261186615694753e-04
-1.818476499189627305e+01,7.385113237357921519e-04
-1.815235008103727665e+01,9.717452058434006886e-04
-1.811993517017828381e+01,1.323227656509924719e-03
-1.808752025931928742e+01,1.757111609459018411e-03
