Detuning_Normalizado,Probabilidade_P2
-2.000000000000000355e+01,3.160715764287947414e-04
-1.996758508914100716e+01,3.708781986473914461e-04
-1.993517017828201077e+01,4.449046526792732386e-04
-1.990275526742301437e+01,5.262417909696726721e-04
-1.987034035656402153e+01,6.006669947033426143e-04
-1.983792544570502514e+01,6.545795916652554945e-04
-1.980551053484602875e+01,6.779742662528815290e-04
-1.977309562398703946e+01,6.668059811654672561e-04
-1.974068071312804307e+01,6.241972574782895036e-04
-1.970826580226904667e+01,5.601618348531316053e-04
-1.967585089141005028e+01,4.898251437474425993e-04
-1.964343598055105744e+01,4.304485186320905574e-04
-1.961102106969206105e+01,3.978399670639920743e-04
-1.957860615883306465e+01,4.028966099693077289e-04
-1.954619124797406826e+01,4.490316424566628654e-04
-1.951377633711507542e+01,5.310828908972603643e-04
-1.948136142625607903e+01,6.360072713882920043e-04
-1.944894651539708263e+01,7.452933817764995821e-04
-1.941653160453808979e+01,8.386506381798950263e-04
-1.938411669367909340e+01,8.982390380421293461e-04
-1.935170178282010056e+01,9.125560762775847485e-04
-1.931928687196110417e+01,8.791345933433199547e-04
-1.928687196110211133e+01,8.054267115900213192e-04
-1.925445705024311494e+01,7.076137726906875326e-04
-1.922204213938411854e+01,6.075168878919220972e-04
-1.918962722852512215e+01,5.281960226373602846e-04
-1.915721231766612931e+01,4.891274644371614803e-04
-1.912479740680713292e+01,5.019710282413903822e-04
-1.909238249594813652e+01,5.678470652556378206e-04
-1.905996758508914368e+01,6.767518038480735670e-04
-1.902755267423014729e+01,8.093039647965301429e-04
-1.899513776337115090e+01,9.405250162640631196e-04
-1.896272285251215450e+01,1.044913515866647755e-03
-1.893030794165316166e+01,1.101776984188000902e-03
-1.889789303079416527e+01,1.099700510631988412e-03
-1.886547811993517243e+01,1.039183789206238285e-03
-1.883306320907617959e+01,9.328412619478482952e-04
-1.880064829821718320e+01,8.030613519832244555e-04
-1.876823338735818680e+01,6.775567119724923036e-04
-1.873581847649919041e+01,5.836943392685357357e-04
-1.870340356564019757e+01,5.427729135359963750e-04
-1.867098865478120118e+01,5.654513594299976102e-04
-1.863857374392220478e+01,6.493143943416114592e-04
-1.860615883306320839e+01,7.791289367892783365e-04
-1.857374392220421555e+01,9.297875045635189571e-04
-1.854132901134521916e+01,1.071367504537936973e-03
-1.850891410048622276e+01,1.175279154830841067e-03
-1.847649918962723348e+01,1.220228616799982901e-03
-1.844408427876823708e+01,1.196742486624380970e-03
-1.841166936790924069e+01,1.109285000873326370e-03
-1.837925445705024430e+01,9.754933680403817193e-04
-1.834683954619125146e+01,8.226574291563366285e-04
-1.831442463533225506e+01,6.821511605642412461e-04
-1.828200972447325867e+01,5.829617553704469690e-04
-1.824959481361426583e+01,5.456626407217159526e-04
-1.821717990275526944e+01,5.780949204812611169e-04
-1.818476499189627305e+01,6.736722289047756109e-04
-1.815235008103727665e+01,8.126788127573601663e-04
-1.811993517017828381e+01,9.663040154446739379e-04
-1.808752025931928742e+01,1.102580532415160276e-03
-1.805510534846029103e+01,1.192991123904244303e-03
-1.802269043760129463e+01,1.218364961636707539e-03
-1.799027552674230535e+01,1.172831703159118001e-03
-1.795786061588330895e+01,1.065008280404577913e-03
-1.792544570502431256e+01,9.161744155140747132e-04
-1.789303079416531972e+01,7.558250226831678522e-04
-1.786061588330632333e+01,6.155369763238393438e-04
