Detuning_Normalizado,Probabilidade_P2
-2.000000000000000000e+01,3.235515464844830602e-03
-1.995802728226652434e+01,3.158008971979081765e-03
-1.991605456453305223e+01,3.081966217284908167e-03
-1.987408184679958012e+01,3.007378122925508969e-03
-1.983210912906610801e+01,2.934046882062181158e-03
-1.979013641133263235e+01,2.861675277571293797e-03
-1.974816369359916024e+01,2.789983832174035196e-03
-1.970619097586568813e+01,2.718825280644014773e-03
-1.966421825813221602e+01,2.648266014773850794e-03
-1.962224554039874036e+01,2.578612633521945498e-03
-1.958027282266526825e+01,2.510376337517747618e-03
-1.953830010493179614e+01,2.444184675317423797e-03
-1.949632738719832048e+01,2.380664435514324474e-03
-1.945435466946484837e+01,2.320327267553703651e-03
-1.941238195173137626e+01,2.263488668328234900e-03
-1.937040923399790415e+01,2.210241500110187145e-03
-1.932843651626442849e+01,2.160489838088026741e-03
-1.928646379853095283e+01,2.114032013906766427e-03
-1.924449108079748072e+01,2.070668037071960853e-03
-1.920251836306400861e+01,2.030300054499680450e-03
-1.916054564533053650e+01,1.992997031664077434e-03
-1.911857292759706084e+01,1.959005689696690158e-03
-1.907660020986358873e+01,1.928705776179089710e-03
-1.903462749213011662e+01,1.902524314443491266e-03
-1.899265477439664096e+01,1.880835706917106422e-03
-1.895068205666316885e+01,1.863878826991047927e-03
-1.890870933892969674e+01,1.851717188369135080e-03
-1.886673662119622463e+01,1.844255321778531711e-03
-1.882476390346274897e+01,1.841307361790092169e-03
-1.878279118572927686e+01,1.842697588005034331e-03
-1.874081846799580475e+01,1.848362144856791804e-03
-1.869884575026233264e+01,1.858419652438178830e-03
-1.865687303252885698e+01,1.873186596850080418e-03
-1.861490031479538132e+01,1.893129092091231681e-03
-1.857292759706190921e+01,1.918761410139734188e-03
-1.853095487932843710e+01,1.950518134928691093e-03
-1.848898216159496499e+01,1.988636007940739869e-03
-1.844700944386148933e+01,2.033080578341128937e-03
-1.840503672612801722e+01,2.083541599638025384e-03
-1.836306400839454511e+01,2.139502624482256862e-03
-1.832109129066106945e+01,2.200369509848627489e-03
-1.827911857292759734e+01,2.265625390741118992e-03
-1.823714585519412523e+01,2.334971058372892379e-03
-1.819517313746065312e+01,2.408412224830344846e-03
-1.815320041972717746e+01,2.486268412396902029e-03
-1.811122770199370180e+01,2.569098704169133288e-03
-1.806925498426022969e+01,2.657561793788854217e-03
-1.802728226652675758e+01,2.752245596173299481e-03
-1.798530954879328547e+01,2.853510202588159864e-03
-1.794333683105980981e+01,2.961384790625250230e-03
-1.790136411332633770e+01,3.075545048560258954e-03
-1.785939139559286559e+01,3.195376545021422730e-03
-1.781741867785938993e+01,3.320106998734384876e-03
-1.777544596012591782e+01,3.448972647903299389e-03
-1.773347324239244571e+01,3.581375615955785432e-03
-1.769150052465897360e+01,3.716992423188970537e-03
-1.764952780692549794e+01,3.855807529799662632e-03
-1.760755508919202583e+01,3.998066107897117229e-03
-1.756558237145855372e+01,4.144161510379105670e-03
-1.752360965372508161e+01,4.294489383668848720e-03
-1.748163693599160595e+01,4.449307764479682251e-03
-1.743966421825813029e+01,4.608639115456289806e-03
-1.739769150052465818e+01,4.772237397160568675e-03
-1.735571878279118607e+01,4.939624800921738751e-03
-1.731374606505771396e+01,5.110183937312899952e-03
