Detuning_Normalizado,Probabilidade_P2
-2.000000000000000000e+01,3.122754493049676762e-04
-1.995802728226652434e+01,3.203203891230941213e-04
-1.991605456453305223e+01,3.284103794865979699e-04
-1.987408184679958012e+01,3.365251024776238337e-04
-1.983210912906610801e+01,3.446430455330706951e-04
-1.979013641133263235e+01,3.527443357346393043e-04
-1.974816369359916024e+01,3.608127641354715465e-04
-1.970619097586568813e+01,3.688365539584532635e-04
-1.966421825813221602e+01,3.768078233362307894e-04
-1.962224554039874036e+01,3.847210640117892824e-04
-1.958027282266526825e+01,3.925711958716809956e-04
-1.953830010493179614e+01,4.003518058016561571e-04
-1.949632738719832048e+01,4.080540431625626963e-04
-1.945435466946484837e+01,4.156663838808338329e-04
-1.941238195173137626e+01,4.231751843053904207e-04
-1.937040923399790415e+01,4.305657183095115302e-04
-1.932843651626442849e+01,4.378232912689831069e-04
-1.928646379853095283e+01,4.449340693563868642e-04
-1.924449108079748072e+01,4.518854198994788087e-04
-1.920251836306400861e+01,4.586657618709259667e-04
-1.916054564533053650e+01,4.652640994858899134e-04
-1.911857292759706084e+01,4.716694983587226431e-04
-1.907660020986358873e+01,4.778707412672649943e-04
-1.903462749213011662e+01,4.838562891396189962e-04
-1.899265477439664096e+01,4.896145238294747834e-04
-1.895068205666316885e+01,4.951341246951250410e-04
-1.890870933892969674e+01,5.004043799799982872e-04
-1.886673662119622463e+01,5.054152742741259245e-04
-1.882476390346274897e+01,5.101573052748784162e-04
-1.878279118572927686e+01,5.146211179295244811e-04
-1.874081846799580475e+01,5.187971432644842467e-04
-1.869884575026233264e+01,5.226754474769383218e-04
-1.865687303252885698e+01,5.262459212106865639e-04
-1.861490031479538132e+01,5.294987946967396122e-04
-1.857292759706190921e+01,5.324253078149492014e-04
-1.853095487932843710e+01,5.350182612332820284e-04
-1.848898216159496499e+01,5.372721761978580500e-04
-1.844700944386148933e+01,5.391829097641712533e-04
-1.840503672612801722e+01,5.407467766424283633e-04
